gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_002981	Control	Vibrio	OK	266.554	505.986	0.924672	2.92374	5e-05	0.00797753	yes
XLOC_003034	Control	Vibrio	OK	126.453	308.303	1.28575	3.5663	5e-05	0.00797753	yes
XLOC_003037	Control	Vibrio	OK	156.471	253.124	0.693949	2.01786	0.00015	0.0199065	yes
XLOC_003042	Control	Vibrio	OK	816.396	1439.68	0.818405	3.9178	5e-05	0.00797753	yes
XLOC_003097	Control	Vibrio	OK	11.0819	47.4092	2.09696	3.82482	5e-05	0.00797753	yes
XLOC_003109	Control	Vibrio	OK	89.7971	156.606	0.802397	2.24821	3e-04	0.0325191	yes
XLOC_003110	Control	Vibrio	OK	43.1645	94.8149	1.13527	2.57362	0.00035	0.0365441	yes
XLOC_003119	Control	Vibrio	OK	30.2331	68.542	1.18086	3.06225	5e-05	0.00797753	yes
XLOC_003138	Control	Vibrio	OK	54.7563	95.786	0.806789	2.01746	0.00055	0.047622	yes
XLOC_003161	Control	Vibrio	OK	114.075	253.187	1.15022	3.45922	5e-05	0.00797753	yes
XLOC_003229	Control	Vibrio	OK	157.44	319.952	1.02305	3.58588	5e-04	0.0446541	yes
XLOC_003245	Control	Vibrio	OK	46.6732	121.114	1.3757	3.32968	5e-05	0.00797753	yes
XLOC_003291	Control	Vibrio	OK	25.8218	85.8339	1.73296	4.30864	5e-05	0.00797753	yes
XLOC_003306	Control	Vibrio	OK	383.049	621.692	0.69867	2.40875	0.00035	0.0365441	yes
XLOC_003379	Control	Vibrio	OK	90.345	148.371	0.71569	2.01081	0.00025	0.028629	yes
XLOC_003482	Control	Vibrio	OK	58.0203	164.989	1.50774	3.85215	5e-05	0.00797753	yes
XLOC_003485	Control	Vibrio	OK	26.1069	55.0514	1.07635	2.30362	2e-04	0.0240678	yes
XLOC_003489	Control	Vibrio	OK	112.571	56.708	-0.98921	-2.4883	5e-05	0.00797753	yes
XLOC_003523	Control	Vibrio	OK	24.811	47.4989	0.936912	2.18967	1e-04	0.0144898	yes
XLOC_003524	Control	Vibrio	OK	21.0101	59.4372	1.50028	2.68236	0.00035	0.0365441	yes
XLOC_003577	Control	Vibrio	OK	13.8189	37.7941	1.45152	2.64781	5e-05	0.00797753	yes
XLOC_003594	Control	Vibrio	OK	26.0013	54.1793	1.05916	2.38865	5e-05	0.00797753	yes
XLOC_003771	Control	Vibrio	OK	69.396	225.362	1.69932	4.78317	1e-04	0.0144898	yes
XLOC_003871	Control	Vibrio	OK	19.4379	47.1691	1.27897	2.41252	0.00015	0.0199065	yes
XLOC_004004	Control	Vibrio	OK	272.111	563.206	1.04947	4.03305	5e-05	0.00797753	yes
XLOC_004103	Control	Vibrio	OK	44.0027	140.401	1.67389	3.8095	5e-05	0.00797753	yes
XLOC_004141	Control	Vibrio	OK	16.1838	46.2718	1.51558	2.96062	5e-05	0.00797753	yes
XLOC_004241	Control	Vibrio	OK	280.275	595.325	1.08683	5.73779	0.00055	0.047622	yes
XLOC_004246	Control	Vibrio	OK	9.10597	34.6834	1.92936	3.04482	5e-05	0.00797753	yes
XLOC_004288	Control	Vibrio	OK	15.1774	79.79	2.39428	4.64314	5e-05	0.00797753	yes
XLOC_004289	Control	Vibrio	OK	40.5113	94.2345	1.21793	2.79524	5e-05	0.00797753	yes
XLOC_004319	Control	Vibrio	OK	49.2257	84.885	0.786097	2.00003	0.00045	0.0420395	yes
XLOC_004347	Control	Vibrio	OK	28.9846	175.689	2.59966	5.68457	5e-05	0.00797753	yes
XLOC_004376	Control	Vibrio	OK	38.936	104.615	1.42592	3.05328	0.00055	0.047622	yes
XLOC_004654	Control	Vibrio	OK	26.2498	64.2854	1.29218	2.68335	5e-05	0.00797753	yes
XLOC_004722	Control	Vibrio	OK	29.4753	88.1995	1.58126	3.76048	5e-05	0.00797753	yes
